População  residente -  total
Sigla;Código;Estado;2022;
AC;12;Acre;830018;
AL;27;Alagoas;3127683;
AM;13;Amazonas;3941613;
AP;16;Amapá;733759;
BA;29;Bahia;14141626;
CE;23;Ceará;8794957;
DF;53;Distrito Federal;2817381;
ES;32;Espírito Santo;3833712;
GO;52;Goiás;7056495;
MA;21;Maranhão;6775805;
MG;31;Minas Gerais;20539989;
MS;50;Mato Grosso do Sul;2757013;
MT;51;Mato Grosso;3658649;
PA;15;Pará;8121025;
PB;25;Paraíba;3974687;
PE;26;Pernambuco;9058931;
PI;22;Piauí;3260937;
PR;41;Paraná;11444380;
RJ;33;Rio de Janeiro;16055174;
RN;24;Rio Grande do Norte;3302729;
RO;11;Rondônia;1581196;
RR;14;Roraima;636707;
RS;43;Rio Grande do Sul;10882965;
SC;42;Santa Catarina;7610361;
SE;28;Sergipe;2210004;
SP;35;São Paulo;44411238;
TO;17;Tocantins;1511460;
