date,country,population_total,state,population_per_state,one_shot_perc,one_shot_daily,one_shot_total,two_shot_perc,two_shot_daily,two_shot_total,three_shot_perc,three_shot_daily,three_shot_total
2021-01-17,Brazil,203070494,Acre,830018,0.0000,5,5,0.0000,0,0,0.0000,0,0
2021-01-18,Brazil,203070494,Acre,830018,0.0000,5,10,0.0000,0,0,0.0000,0,0
2021-01-19,Brazil,203070494,Acre,830018,0.0001,48,58,0.0000,0,0,0.0000,0,0
2021-01-20,Brazil,203070494,Acre,830018,0.0013,1037,1095,0.0000,1,1,0.0000,0,0
2021-01-21,Brazil,203070494,Acre,830018,0.0033,1624,2719,0.0000,2,3,0.0000,0,0
2021-01-22,Brazil,203070494,Acre,830018,0.0046,1127,3846,0.0000,2,5,0.0000,0,0
2021-01-23,Brazil,203070494,Acre,830018,0.0049,199,4045,0.0000,2,7,0.0000,0,0
2021-01-24,Brazil,203070494,Acre,830018,0.0050,104,4149,0.0000,6,13,0.0000,0,0
2021-01-25,Brazil,203070494,Acre,830018,0.0061,911,5060,0.0000,0,13,0.0000,0,0
2021-01-26,Brazil,203070494,Acre,830018,0.0076,1224,6284,0.0000,2,15,0.0000,0,0
2021-01-27,Brazil,203070494,Acre,830018,0.0091,1273,7557,0.0000,1,16,0.0000,0,0
2021-01-28,Brazil,203070494,Acre,830018,0.0103,1026,8583,0.0000,0,16,0.0000,0,0
2021-01-29,Brazil,203070494,Acre,830018,0.0124,1693,10276,0.0000,3,19,0.0000,0,0
2021-01-30,Brazil,203070494,Acre,830018,0.0132,684,10960,0.0000,2,21,0.0000,0,0
2021-01-31,Brazil,203070494,Acre,830018,0.0134,146,11106,0.0000,0,21,0.0000,0,0
2021-02-01,Brazil,203070494,Acre,830018,0.0144,851,11957,0.0000,3,24,0.0000,0,0
2021-02-02,Brazil,203070494,Acre,830018,0.0150,490,12447,0.0000,4,28,0.0000,0,0
2021-02-03,Brazil,203070494,Acre,830018,0.0160,873,13320,0.0000,2,30,0.0000,0,0
2021-02-04,Brazil,203070494,Acre,830018,0.0166,491,13811,0.0001,51,81,0.0000,0,0
2021-02-05,Brazil,203070494,Acre,830018,0.0173,530,14341,0.0001,13,94,0.0000,0,0
2021-02-06,Brazil,203070494,Acre,830018,0.0175,177,14518,0.0001,29,123,0.0000,0,0
2021-02-07,Brazil,203070494,Acre,830018,0.0176,80,14598,0.0002,9,132,0.0000,0,0
