date,country,one_shot_brazil,two_shot_brazil,three_shot_brazil,population_total,one_shot_brazil_perc,two_shot_brazil_perc,three_shot_brazil_perc
2021-01-01,Brazil,56,8,0,203070494,0.0000,0.0000,0.0000
2021-01-02,Brazil,93,12,0,203070494,0.0000,0.0000,0.0000
2021-01-03,Brazil,105,31,0,203070494,0.0000,0.0000,0.0000
2021-01-04,Brazil,160,105,0,203070494,0.0000,0.0000,0.0000
2021-01-05,Brazil,196,180,0,203070494,0.0000,0.0000,0.0000
2021-01-06,Brazil,221,243,0,203070494,0.0000,0.0000,0.0000
2021-01-07,Brazil,240,278,0,203070494,0.0000,0.0000,0.0000
2021-01-08,Brazil,260,313,1,203070494,0.0000,0.0000,0.0000
2021-01-09,Brazil,281,334,1,203070494,0.0000,0.0000,0.0000
2021-01-10,Brazil,305,350,2,203070494,0.0000,0.0000,0.0000
2021-01-11,Brazil,345,382,2,203070494,0.0000,0.0000,0.0000
2021-01-12,Brazil,414,425,33,203070494,0.0000,0.0000,0.0000
2021-01-13,Brazil,431,442,38,203070494,0.0000,0.0000,0.0000
2021-01-14,Brazil,471,462,38,203070494,0.0000,0.0000,0.0000
2021-01-15,Brazil,510,473,38,203070494,0.0000,0.0000,0.0000
2021-01-16,Brazil,524,480,38,203070494,0.0000,0.0000,0.0000
2021-01-17,Brazil,1516,635,38,203070494,0.0000,0.0000,0.0000
2021-01-18,Brazil,4305,802,39,203070494,0.0000,0.0000,0.0000
2021-01-19,Brazil,66341,1093,51,203070494,0.0003,0.0000,0.0000
2021-01-20,Brazil,415443,1794,51,203070494,0.0020,0.0000,0.0000
2021-01-21,Brazil,809094,2565,52,203070494,0.0040,0.0000,0.0000
2021-01-22,Brazil,1164690,3708,52,203070494,0.0057,0.0000,0.0000
2021-01-23,Brazil,1253062,3990,52,203070494,0.0062,0.0000,0.0000
2021-01-24,Brazil,1289199,4243,52,203070494,0.0063,0.0000,0.0000
2021-01-25,Brazil,1517241,4652,52,203070494,0.0075,0.0000,0.0000
