state;date;one_shot_daily;two_shot_daily;three_shot_daily
Acre;2021-01-17;5;0;0
Acre;2021-01-18;5;0;0
Acre;2021-01-19;48;0;0
Acre;2021-01-20;1037;1;0
Acre;2021-01-21;1624;2;0
Acre;2021-01-22;1127;2;0
Acre;2021-01-23;199;2;0
Acre;2021-01-24;104;6;0
Acre;2021-01-25;911;0;0
Acre;2021-01-26;1224;2;0
Acre;2021-01-27;1273;1;0
Acre;2021-01-28;1026;0;0
Acre;2021-01-29;1693;3;0
Acre;2021-01-30;684;2;0
Acre;2021-01-31;146;0;0
Acre;2021-02-01;851;3;0
Acre;2021-02-02;490;4;0
Acre;2021-02-03;873;2;0
Acre;2021-02-04;491;51;0
Acre;2021-02-05;530;13;0
Acre;2021-02-06;177;29;0
Acre;2021-02-07;80;9;0
Acre;2021-02-08;882;66;0
Acre;2021-02-09;430;64;0
Acre;2021-02-10;705;89;0
Acre;2021-02-11;532;65;0
Acre;2021-02-12;617;138;0
Acre;2021-02-13;134;187;0
Acre;2021-02-14;136;39;0
Acre;2021-02-15;304;219;0
Acre;2021-02-16;663;283;0
Acre;2021-02-17;396;1440;0
Acre;2021-02-18;718;1427;0
Acre;2021-02-19;389;899;0
Acre;2021-02-20;376;304;0
Acre;2021-02-21;100;271;0
Acre;2021-02-22;439;782;0
Acre;2021-02-23;214;665;0
Acre;2021-02-24;212;550;0
Acre;2021-02-25;1843;337;0
Acre;2021-02-26;2893;909;0
Acre;2021-02-27;1166;118;0
Acre;2021-02-28;326;51;0
Acre;2021-03-01;1313;319;0
Acre;2021-03-02;2143;430;0
Acre;2021-03-03;1766;216;0
Acre;2021-03-04;2153;209;0
Acre;2021-03-05;1537;187;0
Acre;2021-03-06;168;43;0
Acre;2021-03-07;23;57;0
Acre;2021-03-08;173;88;0
Acre;2021-03-09;834;216;0
Acre;2021-03-10;1109;554;0
Acre;2021-03-11;1897;316;0
Acre;2021-03-12;778;297;0
Acre;2021-03-13;104;68;0
Acre;2021-03-14;33;25;0
Acre;2021-03-15;539;271;0
Acre;2021-03-16;708;600;0
Acre;2021-03-17;849;397;0
Acre;2021-03-18;1731;321;0
Acre;2021-03-19;702;174;0
Acre;2021-03-20;57;40;0
Acre;2021-03-21;35;37;0
Acre;2021-03-22;980;210;0
Acre;2021-03-23;781;279;0
Acre;2021-03-24;1870;254;0
Acre;2021-03-25;3925;511;0
Acre;2021-03-26;3108;250;0
Acre;2021-03-27;335;99;0
Acre;2021-03-28;1227;19;0
Acre;2021-03-29;2910;264;0
Acre;2021-03-30;4064;229;0
Acre;2021-03-31;3748;205;0
Acre;2021-04-01;2864;766;0
Acre;2021-04-02;275;168;0
Acre;2021-04-03;1291;89;0
Acre;2021-04-04;275;49;0
Acre;2021-04-05;1928;521;0
Acre;2021-04-06;1399;447;0
Acre;2021-04-07;1890;731;0
Acre;2021-04-08;1060;987;0
Acre;2021-04-09;1439;521;0
Acre;2021-04-10;3198;201;0
Acre;2021-04-11;332;21;0
Acre;2021-04-12;1216;646;0
Acre;2021-04-13;941;405;0
Acre;2021-04-14;830;1680;0
Acre;2021-04-15;489;997;0
Acre;2021-04-16;690;661;0
Acre;2021-04-17;2794;316;0
Acre;2021-04-18;498;92;0
Acre;2021-04-19;947;426;0
Acre;2021-04-20;737;691;0
Acre;2021-04-21;470;238;0
Acre;2021-04-22;754;846;0
Acre;2021-04-23;637;676;0
Acre;2021-04-24;517;261;0
Acre;2021-04-25;284;135;0
Acre;2021-04-26;698;1200;0
Acre;2021-04-27;669;1968;0
Acre;2021-04-28;712;3146;0
Acre;2021-04-29;634;2761;0
Acre;2021-04-30;389;1039;0
Acre;2021-05-01;209;529;0
Acre;2021-05-02;170;159;0
Acre;2021-05-03;1337;1860;0
Acre;2021-05-04;1640;948;0
Acre;2021-05-05;1815;2221;0
Acre;2021-05-06;1770;1099;0
Acre;2021-05-07;2226;883;0
Acre;2021-05-08;1243;689;0
Acre;2021-05-09;47;105;0
Acre;2021-05-10;2269;1548;0
Acre;2021-05-11;2770;961;0
Acre;2021-05-12;2755;822;0
Acre;2021-05-13;3062;588;0
Acre;2021-05-14;2074;567;0
Acre;2021-05-15;2498;631;0
Acre;2021-05-16;247;83;0
Acre;2021-05-17;2562;582;0
Acre;2021-05-18;2328;574;0
Acre;2021-05-19;2136;428;0
Acre;2021-05-20;2572;679;0
Acre;2021-05-21;2698;389;0
Acre;2021-05-22;441;165;0
Acre;2021-05-23;46;33;0
Acre;2021-05-24;1349;291;0
Acre;2021-05-25;1489;989;0
Acre;2021-05-26;1333;1644;0
Acre;2021-05-27;1083;1731;0
Acre;2021-05-28;1183;797;0
Acre;2021-05-29;1723;380;0
Acre;2021-05-30;73;22;0
Acre;2021-05-31;1407;1394;0
Acre;2021-06-01;2364;1150;0
Acre;2021-06-02;3542;1820;0
Acre;2021-06-03;962;362;0
Acre;2021-06-04;1425;1157;0
Acre;2021-06-05;764;401;0
Acre;2021-06-06;83;24;0
Acre;2021-06-07;2542;1387;0
Acre;2021-06-08;3327;603;0
Acre;2021-06-09;4107;518;0
Acre;2021-06-10;4086;476;0
Acre;2021-06-11;3558;356;0
Acre;2021-06-12;2367;174;0
Acre;2021-06-13;114;73;0
Acre;2021-06-14;5139;425;0
Acre;2021-06-15;4304;67;0
Acre;2021-06-16;8824;643;0
Acre;2021-06-17;9722;382;0
Acre;2021-06-18;14249;360;0
Acre;2021-06-19;9518;174;0
Acre;2021-06-20;3924;12;0
Acre;2021-06-21;8268;459;0
Acre;2021-06-22;7958;901;0
Acre;2021-06-23;8093;1095;0
Acre;2021-06-24;2532;1215;0
Acre;2021-06-25;5487;3874;0
Acre;2021-06-26;8085;2881;0
Acre;2021-06-27;34;8;0
Acre;2021-06-28;5513;2628;0
